Nest,BroodSize,Treatment,Individual,HatchOrder,Sex,Age,Mass,RTarsus,LTarsus,DiffRLTarsus,RWing,LWing,DiffRLWing
3,5,NS,5010,3,M,25,11.48,13.1,12.9,0.2,62,64,2
3,5,NS,5010,3,M,45,11.93,,,,72,76,4
3,5,NS,5010,3,M,60,12.4,,,,77,79,2
3,5,NS,5010,3,M,120,12.94,,,,79,81,2
3,5,NS,5011,4,M,0,0.97,,,,,,
3,5,NS,5011,4,M,5,5.98,10,10.1,0.1,19,18,1
3,5,NS,5011,4,M,10,9.7,11.2,11.8,0.6,35,39,4
3,5,NS,5011,4,M,16,10.93,11.8,12.3,0.5,47,50,3
3,5,NS,5011,4,M,25,11.83,13.2,13.5,0.3,61,63,2
3,5,NS,5011,4,M,45,11.54,,,,73,71,2
3,5,NS,5011,4,M,60,12.38,,,,75,77,2
3,5,NS,5011,4,M,120,12.38,,,,78,79,1
3,5,NS,5012,5,F,0,1.49,,,,,,
3,5,NS,5012,5,F,5,5.38,10.1,10.6,0.5,22,25,3
3,5,NS,5012,5,F,10,9.38,11.4,11.7,0.3,37,40,3
3,5,NS,5012,5,F,16,11.48,12.6,12.3,0.3,55,52,3
3,5,NS,5012,5,F,25,12.4,13.2,13.1,0.1,67,69,2
3,5,NS,5012,5,F,45,12.84,,,,72,76,4
3,5,NS,5012,5,F,60,13.83,,,,74,78,4
3,5,NS,5012,5,F,120,13.28,,,,75,78,3
4,5,C,5013,1,F,0,2.1,,,,,,
4,5,C,5013,1,F,5,7.42,10.5,10.6,0.1,24,21,3
4,5,C,5013,1,F,10,12.46,12.5,12.5,0,50,52,2
4,5,C,5013,1,F,16,13.6,14.8,14.7,0.1,67,68,1
4,5,C,5013,1,F,25,13.86,14.6,14.5,0.1,73,73,0
4,5,C,5013,1,F,45,14.47,,,,78,80,2
4,5,C,5013,1,F,60,14.97,,,,80,81,1
4,5,C,5013,1,F,120,15.8,,,,82,81,1
4,5,C,5014,2,F,0,1.35,,,,,,
4,5,C,5014,2,F,5,7.85,10,10.3,0.3,23,21,2
4,5,C,5014,2,F,10,10.96,11.8,12,0.2,50,51,1
4,5,C,5014,2,F,16,12.75,13.7,13.9,0.2,64,65,1
4,5,C,5014,2,F,25,13.95,14.2,14.3,0.1,75,74,1
4,5,C,5014,2,F,45,14.87,,,,77,79,2
4,5,C,5014,2,F,60,15.86,,,,78,80,2
4,5,C,5014,2,F,120,16.37,,,,81,80,1
4,5,C,5015,3,F,0,1.32,,,,,,
4,5,C,5015,3,F,5,6.35,10.2,10.4,0.2,17,17,0
4,5,C,5015,3,F,10,11.35,12.3,12.1,0.2,47,48,1
4,5,C,5015,3,F,16,12.97,14.7,14.5,0.2,64,68,4
4,5,C,5015,3,F,25,14.74,14.6,14.6,0,74,73,1
4,5,C,5015,3,F,45,14.58,,,,78,79,1
4,5,C,5015,3,F,60,15.73,,,,79,80,1
4,5,C,5015,3,F,120,15.37,,,,81,81,0
4,5,C,5016,4,M,0,1.63,,,,,,
4,5,C,5016,4,M,5,7.32,10.3,10.6,0.3,22,23,1
4,5,C,5016,4,M,10,11.58,12.5,12.4,0.1,50,51,1
4,5,C,5016,4,M,16,12.75,14.2,14.4,0.2,64,65,1
4,5,C,5016,4,M,25,12.79,14.4,14.6,0.2,73,76,3
4,5,C,5016,4,M,45,13.84,,,,80,77,3
4,5,C,5016,4,M,60,13.47,,,,80,81,1
4,5,C,5016,4,M,120,14.85,,,,81,80,1
4,5,C,5017,5,M,0,1.35,,,,,,
4,5,C,5017,5,M,5,6.85,10.2,10.4,0.2,20,19,1
4,5,C,5017,5,M,10,12.73,12.6,12.5,0.1,47,49,2
4,5,C,5017,5,M,16,13.36,14.5,14.4,0.1,64,67,3
4,5,C,5017,5,M,25,13.84,14.7,14.8,0.1,74,76,2
4,5,C,5017,5,M,45,14.84,,,,78,79,1
4,5,C,5017,5,M,60,14.48,,,,80,81,1
4,5,C,5017,5,M,120,15.84,,,,79,78,1
5,4,NS,5018,1,M,0,1.43,,,,,,
5,4,NS,5018,1,M,5,7.64,10.2,10.3,0.1,20,21,1
5,4,NS,5018,1,M,10,12.63,11.5,11.4,0.1,46,47,1
5,4,NS,5018,1,M,16,12.46,13.3,13.6,0.3,53,56,3
5,4,NS,5018,1,M,25,13.86,14.5,14.5,0,68,64,4
5,4,NS,5018,1,M,45,13.67,,,,75,79,4
5,4,NS,5018,1,M,60,14.85,,,,76,79,3
5,4,NS,5018,1,M,120,14.48,,,,77,80,3
5,4,NS,5019,2,F,0,9.9,,,,,,
5,4,NS,5019,2,F,5,5.98,10.4,10.3,0.1,18,19,1
5,4,NS,5019,2,F,10,10.22,11.3,11.5,0.2,28,26,2
5,4,NS,5019,2,F,16,11.43,13.6,13.7,0.1,48,49,1
5,4,NS,5019,2,F,25,12.43,13.4,13.6,0.2,64,60,4
5,4,NS,5019,2,F,45,12.97,,,,73,74,1
5,4,NS,5019,2,F,60,13.86,,,,75,76,1
5,4,NS,5019,2,F,120,13.47,,,,77,78,1
5,4,NS,5020,3,M,0,1.23,,,,,,
5,4,NS,5020,3,M,5,5.97,10.6,10.5,0.1,17,18,1
5,4,NS,5020,3,M,10,10.64,11.7,11.5,0.2,47,45,2
5,4,NS,5020,3,M,16,11.43,13.4,13.7,0.3,58,59,1
5,4,NS,5020,3,M,25,12.75,13.5,13.8,0.3,72,73,1
5,4,NS,5020,3,M,45,12.57,,,,74,76,2
5,4,NS,5020,3,M,60,13.75,,,,77,76,1
5,4,NS,5020,3,M,120,13.68,,,,75,76,1
5,4,NS,5021,4,F,0,1.23,,,,,,
5,4,NS,5021,4,F,5,5.93,10.4,10.3,0.1,22,24,2
5,4,NS,5021,4,F,10,8.38,12.4,12.4,0,45,43,2
5,4,NS,5021,4,F,16,10.23,12.6,12.7,0.1,62,64,2
5,4,NS,5021,4,F,25,11.48,13.1,13.2,0.1,75,73,2
5,4,NS,5021,4,F,45,11.84,,,,74,76,2
5,4,NS,5021,4,F,60,12.94,,,,77,76,1
5,4,NS,5021,4,F,120,12.48,,,,75,77,2
6,4,C,5022,1,F,0,0.95,,,,,,
6,4,C,5022,1,F,5,6.49,10.2,10.1,0.1,20,20,0
6,4,C,5022,1,F,10,11.44,12.4,12.6,0.2,47,48,1
6,4,C,5022,1,F,16,12.94,14.5,14.7,0.2,64,65,1
6,4,C,5022,1,F,25,13.59,14.8,14.9,0.1,73,75,2
6,4,C,5022,1,F,45,14.38,,,,78,79,1
6,4,C,5022,1,F,60,14.96,,,,80,80,0
6,4,C,5022,1,F,120,15.94,,,,81,80,1
6,4,C,5023,2,M,0,1.59,,,,,,
6,4,C,5023,2,M,5,6.38,10.5,10.6,0.1,21,17,4
6,4,C,5023,2,M,10,11.39,12.4,12.5,0.1,38,40,2
6,4,C,5023,2,M,16,12.48,14.6,14.7,0.1,61,61,0
6,4,C,5023,2,M,25,12.59,14.8,14.9,0.1,71,72,1
6,4,C,5023,2,M,45,13.95,,,,76,77,1
6,4,C,5023,2,M,60,13.94,,,,79,78,1
6,4,C,5023,2,M,120,14.95,,,,80,81,1
6,4,C,5024,3,M,0,1.93,,,,,,
6,4,C,5024,3,M,5,6.38,10.6,10.7,0.1,24,23,1
6,4,C,5024,3,M,10,11.29,12.8,12.9,0.1,51,53,2
6,4,C,5024,3,M,16,12.94,14.5,14.5,0,67,68,1
6,4,C,5024,3,M,25,12.48,14.7,14.8,0.1,74,76,2
6,4,C,5024,3,M,45,13.85,,,,77,78,1
6,4,C,5024,3,M,60,14.95,,,,78,80,2
6,4,C,5024,3,M,120,14.38,,,,79,81,2
6,4,C,5025,4,M,0,1.24,,,,,,
6,4,C,5025,4,M,5,6.39,10.4,10.5,0.1,23,19,4
6,4,C,5025,4,M,10,11.39,12.4,12.5,0.1,48,47,1
6,4,C,5025,4,M,16,12.93,14.2,14.5,0.3,67,68,1
6,4,C,5025,4,M,25,12.58,14.4,14.7,0.3,74,72,2
6,4,C,5025,4,M,45,13.59,,,,76,77,1
6,4,C,5025,4,M,60,13.95,,,,78,79,1
6,4,C,5025,4,M,120,14.58,,,,81,80,1
7,5,C,5026,1,F,0,1.29,,,,,,
7,5,C,5026,1,F,5,6.49,10.6,10.4,0.2,17,18,1
7,5,C,5026,1,F,10,11.63,12.6,12.4,0.2,37,39,2
7,5,C,5026,1,F,16,12.49,14.3,14.6,0.3,61,63,2
7,5,C,5026,1,F,25,13.58,14.5,14.6,0.1,72,74,2
7,5,C,5026,1,F,45,14.82,,,,76,77,1
7,5,C,5026,1,F,60,15.93,,,,78,80,2
7,5,C,5026,1,F,120,15.38,,,,79,81,2
7,5,C,5027,2,F,0,1.84,,,,,,
7,5,C,5027,2,F,5,6.84,10.5,10.6,0.1,20,21,1
7,5,C,5027,2,F,10,11.83,12.3,12.5,0.2,48,49,1
7,5,C,5027,2,F,16,12.48,14.5,14.3,0.2,64,68,4
7,5,C,5027,2,F,25,13.48,14.3,14.5,0.2,70,70,0
7,5,C,5027,2,F,45,13.93,,,,76,77,1
7,5,C,5027,2,F,60,14.29,,,,78,79,1
7,5,C,5027,2,F,120,14.95,,,,79,80,1
7,5,C,5028,3,M,0,1.48,,,,,,
7,5,C,5028,3,M,5,6.38,10.4,10.5,0.1,23,21,2
7,5,C,5028,3,M,10,11.94,12.4,12.5,0.1,46,45,1
7,5,C,5028,3,M,16,12.96,11.3,11.2,0.1,61,60,1
7,5,C,5028,3,M,25,13.58,11.5,11.4,0.1,74,72,2
7,5,C,5028,3,M,45,13.96,,,,75,77,2
7,5,C,5028,3,M,60,14.8,,,,76,78,2
7,5,C,5028,3,M,120,15.38,,,,79,80,1
7,5,C,5029,4,F,0,1.38,,,,,,
7,5,C,5029,4,F,5,6.84,10.4,10.5,0.1,22,21,1
7,5,C,5029,4,F,10,11.94,12.5,12.3,0.2,43,46,3
7,5,C,5029,4,F,16,12.44,14.6,14.7,0.1,65,65,0
7,5,C,5029,4,F,25,13.95,14.4,14.5,0.1,74,75,1
7,5,C,5029,4,F,45,14.28,,,,78,79,1
7,5,C,5029,4,F,60,14.33,,,,79,81,2
7,5,C,5029,4,F,120,15.11,,,,81,80,1
7,5,C,5030,5,F,0,1.39,,,,,,
7,5,C,5030,5,F,5,6.93,10.5,10.3,0.2,20,21,1
7,5,C,5030,5,F,10,12.95,12.4,12.5,0.1,47,48,1
7,5,C,5030,5,F,16,13.96,14.5,14.6,0.1,63,65,2
7,5,C,5030,5,F,25,14.96,14.7,14.8,0.1,75,76,1
7,5,C,5030,5,F,45,15.38,,,,77,79,2
7,5,C,5030,5,F,60,16.38,,,,78,79,1
7,5,C,5030,5,F,120,16.94,,,,79,80,1
8,5,NS,5031,1,F,0,1.38,,,,,,
8,5,NS,5031,1,F,5,5.89,10.2,10.3,0.1,18,18,0
8,5,NS,5031,1,F,10,10.93,12.3,12.5,0.2,48,49,1
8,5,NS,5031,1,F,16,11.3,13.2,13.3,0.1,56,58,2
8,5,NS,5031,1,F,25,12.39,13.6,13.7,0.1,68,70,2
8,5,NS,5031,1,F,45,12.5,,,,73,76,3
8,5,NS,5031,1,F,60,13.48,,,,76,79,3
8,5,NS,5031,1,F,120,13.28,,,,80,81,1
8,5,NS,5032,2,M,0,1.49,,,,,,
8,5,NS,5032,2,M,5,6.55,10.4,10.3,0.1,20,22,2
8,5,NS,5032,2,M,10,9.87,12.3,12.1,0.2,38,37,1
8,5,NS,5032,2,M,16,11.39,13.6,13.2,0.4,52,54,2
8,5,NS,5032,2,M,25,12.39,13.4,13.5,0.1,69,65,4
8,5,NS,5032,2,M,45,12.85,,,,71,70,1
8,5,NS,5032,2,M,60,13.28,,,,75,76,1
8,5,NS,5032,2,M,120,13.28,,,,78,77,1
8,5,NS,5033,3,M,0,1.49,,,,,,
8,5,NS,5033,3,M,5,6.43,9.8,9.9,0.1,22,20,2
8,5,NS,5033,3,M,10,10.35,11.2,11.4,0.2,39,36,3
8,5,NS,5033,3,M,16,12.39,13.2,13.6,0.4,49,53,4
8,5,NS,5033,3,M,25,13.28,13.5,13.7,0.2,69,65,4
8,5,NS,5033,3,M,45,13.28,,,,74,75,1
8,5,NS,5033,3,M,60,13.5,,,,78,77,1
8,5,NS,5033,3,M,120,13.59,,,,76,78,2
8,5,NS,5034,4,F,0,1.23,,,,,,
8,5,NS,5034,4,F,5,6.36,10.4,10.3,0.1,20,19,1
8,5,NS,5034,4,F,10,10.34,11.4,11.6,0.2,36,37,1
8,5,NS,5034,4,F,16,11.33,12.9,12.7,0.2,47,49,2
8,5,NS,5034,4,F,25,11.74,13.1,13.2,0.1,59,63,4
8,5,NS,5034,4,F,45,12.64,,,,69,68,1
8,5,NS,5034,4,F,60,12.86,,,,78,75,3
8,5,NS,5034,4,F,120,12.34,,,,77,74,3
8,5,NS,5035,5,M,0,1.24,,,,,,
8,5,NS,5035,5,M,5,6.39,10.4,10.6,0.2,21,18,3
8,5,NS,5035,5,M,10,10.94,12.2,11.8,0.4,38,39,1
8,5,NS,5035,5,M,16,11.94,13.2,13.1,0.1,56,59,3
8,5,NS,5035,5,M,25,12.39,13.5,13.2,0.3,62,66,4
8,5,NS,5035,5,M,45,12.59,,,,73,78,5
8,5,NS,5035,5,M,60,13.59,,,,75,79,4
8,5,NS,5035,5,M,120,13.29,,,,77,80,3
9,4,NS,5036,1,F,0,1.56,,,,,,
9,4,NS,5036,1,F,5,6.57,10.6,10.4,0.2,17,17,0
9,4,NS,5036,1,F,10,10.64,11.4,11.6,0.2,37,34,3
9,4,NS,5036,1,F,16,11.57,13.5,13.6,0.1,51,52,1
9,4,NS,5036,1,F,25,12.46,13.5,13.9,0.4,63,65,2
9,4,NS,5036,1,F,45,12.75,,,,72,73,1
9,4,NS,5036,1,F,60,13.24,,,,75,76,1
9,4,NS,5036,1,F,120,13.57,,,,78,77,1
9,4,NS,5037,2,M,0,1.54,,,,,,
9,4,NS,5037,2,M,5,6.45,10.2,10,0.2,17,19,2
9,4,NS,5037,2,M,10,10.43,11.4,11.6,0.2,36,37,1
9,4,NS,5037,2,M,16,11.34,12.9,13.3,0.4,48,50,2
9,4,NS,5037,2,M,25,12.25,13.7,13.5,0.2,54,56,2
9,4,NS,5037,2,M,45,12.65,,,,66,67,1
9,4,NS,5037,2,M,60,12.98,,,,73,74,1
9,4,NS,5037,2,M,120,13.04,,,,77,79,2
9,4,NS,5038,3,M,0,1.24,,,,,,
9,4,NS,5038,3,M,5,5.89,10.3,10.4,0.1,20,21,1
9,4,NS,5038,3,M,10,10.24,11.3,11.6,0.3,35,39,4
9,4,NS,5038,3,M,16,11.29,12.4,12.6,0.2,46,49,3
9,4,NS,5038,3,M,25,11.95,12.8,12.9,0.1,57,59,2
9,4,NS,5038,3,M,45,12.48,,,,68,70,2
9,4,NS,5038,3,M,60,12.86,,,,73,74,1
9,4,NS,5038,3,M,120,12.58,,,,75,74,1
9,4,NS,5039,4,F,0,1.93,,,,,,
9,4,NS,5039,4,F,5,5.39,10.2,10.4,0.2,16,17,1
9,4,NS,5039,4,F,10,10.38,10.9,11.3,0.4,35,37,2
9,4,NS,5039,4,F,16,11.29,11.7,11.9,0.2,48,50,2
9,4,NS,5039,4,F,25,11.85,12.3,12.2,0.1,67,65,2
9,4,NS,5039,4,F,45,12.48,,,,73,74,1
9,4,NS,5039,4,F,60,12.85,,,,75,76,1
9,4,NS,5039,4,F,120,13.52,,,,77,78,1
10,4,C,5040,1,F,0,1.11,,,,,,
10,4,C,5040,1,F,5,6.48,10.2,10.1,0.1,18,18,0
10,4,C,5040,1,F,10,11.95,12.3,12.6,0.3,42,48,6
10,4,C,5040,1,F,16,12.84,14.2,14.6,0.4,62,64,2
10,4,C,5040,1,F,25,13.28,14.5,14.7,0.2,74,78,4
10,4,C,5040,1,F,45,13.86,,,,78,81,3
10,4,C,5040,1,F,60,14.38,,,,79,80,1
10,4,C,5040,1,F,120,14.86,,,,79,81,2
10,4,C,5041,2,M,0,1.28,,,,,,
10,4,C,5041,2,M,5,5.68,10.5,10.7,0.2,20,21,1
10,4,C,5041,2,M,10,10.97,12.5,12.3,0.2,46,45,1
10,4,C,5041,2,M,16,12.48,14.5,14.8,0.3,63,65,2
10,4,C,5041,2,M,25,12.98,14.7,14.8,0.1,75,78,3
10,4,C,5041,2,M,45,13.58,,,,78,79,1
10,4,C,5041,2,M,60,13.74,,,,79,81,2
10,4,C,5041,2,M,120,14.28,,,,81,80,1
10,4,C,5042,3,F,0,2.12,,,,,,
10,4,C,5042,3,F,5,7.38,10.5,10.6,0.1,20,21,1
10,4,C,5042,3,F,10,11.85,12.4,12.6,0.2,42,45,3
10,4,C,5042,3,F,16,12.85,14.6,14.8,0.2,62,65,3
10,4,C,5042,3,F,25,13.85,14.9,15,0.1,75,73,2
10,4,C,5042,3,F,45,14.26,,,,77,78,1
10,4,C,5042,3,F,60,14.87,,,,79,80,1
10,4,C,5042,3,F,120,15.26,,,,81,81,0
10,4,C,5043,4,M,0,1.86,,,,,,
10,4,C,5043,4,M,5,6.48,10.4,10.2,0.2,18,19,1
10,4,C,5043,4,M,10,12.47,12.4,12.7,0.3,46,47,1
10,4,C,5043,4,M,16,14.68,14.5,14.7,0.2,63,65,2
10,4,C,5043,4,M,25,14.86,14.3,14.6,0.3,74,75,1
10,4,C,5043,4,M,45,15.38,,,,76,78,2
10,4,C,5043,4,M,60,15.83,,,,78,80,2
10,4,C,5043,4,M,120,16.48,,,,80,81,1
